Nombre,Apellido,Posicion,Equipo
Kepler,Lima,Defensa,Real Madrid
Andres,Iniesta,Medio campo,FC Barcelona
Marcelo,Vieira,Defensa,Real Madrid
Luis,Suarez,Delantero,FC Barcelona
Neymar,daSilva,Delantero,FC Barcelona
Toni,Kroos,Medio campo,Real Madrid
Karim,Benzema,Delantero,Real Madrid
Sergio,Ramos,Defensa,Real Madrid
Sergi,Roberto,Defensa,FC Barcelona
Alvaro,Morata,Delantero,Real Madrid
Wilfrid,Kaptoum,Medio campo,FC Barcelona
Cristiano,Ronaldo,Delantero,Real Madrid
Gareth,Bale,Medio campo,Real Madrid
Gerard,Pique,Defensa,FC Barcelona
Rafael,Varane,Defensa,Real Madrid
Andre,Gomes,Medio campo,FC Barcelona
Javier,Mascherano,Defensa,FC Barcelona
Aleix,Vidal,Defensa,FC Barcelona
Jasper,Cillessen,Guardameta,FC Barcelona
James,Rodriguez,Medio campo,Real Madrid
Lionel,Messi,Delantero,FC Barcelona
Keylor,Navas,Guardameta,Real Madrid